Scientific_Name,Common_Name,Phylum,Class,Family,Order,Location,Depth_Range,Habitat_Type,Commercial_Status,Conservation_Status,Max_Length,Max_Weight,Physical_Description,Feeding_Habits,Reproductive_Biology,Economic_Importance,Threats,Behavior_Ecology,Distribution,Data_Source,Last_Updated,Record_ID,Database,Region,Quality_Control,Georeference,Voucher_Specimen
Katsuwonus pelamis,Skipjack Tuna,Chordata,Actinopterygii,Scombridae,Perciformes,"Arabian Sea, Bay of Bengal",0-260m,Pelagic,Commercial,Least Concern,108 cm,34.5 kg,"Streamlined body, metallic blue-black dorsally, 4-6 dark bands","Carnivorous - small fish, squid","Year-round spawning, multiple spawning events","Major tuna fishery, canning industry","Overfishing, climate change","Highly migratory, schooling",Circumtropical,CMFRI,2025-09-20,1,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Thunnus albacares,Yellowfin Tuna,Chordata,Actinopterygii,Scombridae,Perciformes,Indian Ocean,0-250m,Pelagic,Commercial,Near Threatened,239 cm,200 kg,Large tuna with yellow fins and anal fin,"Piscivorous - fish, squid, crustaceans",Summer spawning peaks,"Premium sashimi, high commercial value",Longline fishing mortality,"Fast swimming, schooling behavior",Tropical oceans,IUCN,2025-09-20,2,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Hilsa ilisha,Hilsa Shad,Chordata,Actinopterygii,Clupeidae,Clupeiformes,"Bay of Bengal, rivers",0-200m,Anadromous,Commercial,Near Threatened,60 cm,2.5 kg,Compressed silver body with bluish tinge,"Planktivorous - phytoplankton, zooplankton",River breeding during monsoon,National fish of Bangladesh,"Dam construction, pollution",Anadromous migration,Bay of Bengal,CMFRI,2025-09-20,3,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Lates calcarifer,Barramundi,Chordata,Actinopterygii,Latidae,Perciformes,Indo-Pacific coastal,0-40m,Estuarine,Commercial,Least Concern,200 cm,60 kg,"Large predatory fish, silver with dark spots","Carnivorous - fish, crustaceans",Protandrous hermaphrodite,Major aquaculture species,Habitat degradation,"Euryhaline, territorial",Indo-Pacific,FAO,2025-09-20,4,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Chanos chanos,Milkfish,Chordata,Actinopterygii,Chanidae,Gonorynchiformes,Indo-Pacific,0-30m,Coastal,Commercial,Least Concern,180 cm,14 kg,Streamlined silvery fish with forked tail,"Omnivorous - algae, invertebrates",Coastal spawning,Major aquaculture species in Asia,Water pollution,"Schooling, fast swimming",Indo-Pacific,Aquaculture data,2025-09-20,5,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Epinephelus malabaricus,Malabar Grouper,Chordata,Actinopterygii,Serranidae,Perciformes,Indo-Pacific reefs,5-150m,Reef-associated,Commercial,Not Assessed,234 cm,150 kg,Large grouper with mottled brown coloration,"Carnivorous - fish, crustaceans",Protogynous hermaphrodite,High-value food fish,"Overfishing, habitat loss","Territorial, ambush predator",Indo-Pacific,FishBase,2025-09-20,6,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Lutjanus campechanus,Red Snapper,Chordata,Actinopterygii,Lutjanidae,Perciformes,Continental shelf,10-190m,Demersal,Commercial,Vulnerable,100 cm,22.8 kg,Red coloration with silver sides,"Carnivorous - fish, crustaceans, worms",Summer spawning aggregations,Premium food fish,Overfishing,"Bottom-dwelling, schooling",Western Atlantic,NOAA,2025-09-20,7,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Scomberomorus commerson,Spanish Mackerel,Chordata,Actinopterygii,Scombridae,Perciformes,Indo-Pacific,15-200m,Pelagic,Commercial,Least Concern,240 cm,70 kg,Large mackerel with spots and bars,"Carnivorous - fish, squid, prawns",Winter spawning peak,Important commercial species,Fishing pressure,"Fast predator, coastal waters",Indo-Pacific,FAO,2025-09-20,8,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Rastrelliger kanagurta,Indian Mackerel,Chordata,Actinopterygii,Scombridae,Perciformes,Indo-West Pacific,20-90m,Coastal pelagic,Commercial,Least Concern,35 cm,0.34 kg,Small mackerel with wavy lines on back,"Planktivorous - zooplankton, small fish",Multiple spawning seasons,Major fishery in India,Overfishing,"Schooling, coastal migration",Indo-Pacific,CMFRI,2025-09-20,9,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Sardinella longiceps,Indian Oil Sardine,Chordata,Actinopterygii,Clupeidae,Clupeiformes,Western Indian Ocean,5-40m,Coastal pelagic,Commercial,Least Concern,23 cm,0.15 kg,Small silvery fish with single dorsal fin,Planktivorous - phytoplankton,Monsoon season spawning,Major fishery in India,Climate variability,Dense schooling behavior,Indian Ocean,CMFRI,2025-09-20,10,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Rhincodon typus,Whale Shark,Chordata,Elasmobranchii,Rhincodontidae,Orectolobiformes,Tropical oceans,0-1928m,Pelagic,Protected,Endangered,1200 cm,21500 kg,"Largest fish, white spots on dark skin",Filter feeder - plankton,Ovoviviparous,"Ecotourism, conservation flagship","Ship strikes, fishing","Migratory, solitary",Circumtropical,IUCN,2025-09-20,11,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Carcharhinus brevipinna,Spinner Shark,Chordata,Elasmobranchii,Carcharhinidae,Carcharhiniformes,Coastal waters,0-100m,Pelagic,Fisheries,Near Threatened,300 cm,90 kg,Gray shark with spinning feeding behavior,Carnivorous - schooling fish,Viviparous,"Commercial fisheries, fins","Overfishing, habitat loss",Spinning feeding jumps,Warm temperate waters,IUCN,2025-09-20,12,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Chelonia mydas,Green Sea Turtle,Chordata,Reptilia,Cheloniidae,Testudines,Coastal Indian Ocean,0-40m,Benthic grazer,Protected,Endangered,150 cm,185 kg,"Heart-shaped carapace, green coloration","Herbivorous - seagrass, algae",Beach nesting every 2-4 years,Reef health keystone species,Plastic pollution,Long-distance migration,Circumtropical,IUCN,2025-09-20,13,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Eretmochelys imbricata,Hawksbill Turtle,Chordata,Reptilia,Cheloniidae,Testudines,Coral reefs,0-70m,Benthic,Protected,Critically Endangered,114 cm,80 kg,"Hawk-like beak, overlapping scutes","Carnivorous - sponges, jellyfish","Beach nesting, temperature-dependent sex",Tortoiseshell trade (banned),Illegal trade,Coral reef specialist,Tropical reefs,CITES,2025-09-20,14,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Dugong dugon,Dugong,Chordata,Mammalia,Dugongidae,Sirenia,Seagrass beds,0-37m,Benthic grazer,Protected,Vulnerable,400 cm,420 kg,"Large marine mammal, paddle flippers",Herbivorous - seagrass specialist,"Slow reproduction, single calf","Cultural significance, ecosystem health",Habitat loss,"Slow-moving, social groups",Indo-Pacific,IUCN,2025-09-20,15,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Tursiops truncatus,Bottlenose Dolphin,Chordata,Mammalia,Delphinidae,Cetacea,Coastal waters,0-500m,Pelagic,Protected,Least Concern,400 cm,650 kg,Gray dolphin with pronounced beak,"Carnivorous - fish, squid",Single calf every 3-6 years,"Research model, marine parks","Pollution, fishing interactions","Social, intelligent",Worldwide,IUCN,2025-09-20,16,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Octopus vulgaris,Common Octopus,Mollusca,Cephalopoda,Octopodidae,Octopoda,Coastal reefs,0-200m,Benthic,Commercial,Not Assessed,25 cm,3 kg,"Eight arms, color-changing ability","Carnivorous - crabs, fish",Den egg-laying,Commercial fisheries,Overfishing,"Intelligent, solitary",Worldwide,FAO,2025-09-20,17,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Sepia pharaonis,Pharaoh Cuttlefish,Mollusca,Cephalopoda,Sepiidae,Sepiida,Indo-Pacific,0-130m,Benthic,Commercial,Not Assessed,42 cm,5 kg,"Internal cuttlebone, W-shaped pupils","Carnivorous - fish, crustaceans",Complex mating,Commercial fisheries,Habitat degradation,Ambush predator,Indo-Pacific,FishBase,2025-09-20,18,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Loligo duvaucelii,Indian Squid,Mollusca,Cephalopoda,Loliginidae,Teuthida,Indo-Pacific,0-170m,Pelagic,Commercial,Not Assessed,38 cm,1.5 kg,"Torpedo-shaped body, ten arms","Carnivorous - fish, crustaceans",Egg masses on bottom,Important fishery,Overfishing,"Fast swimming, schooling",Indo-Pacific,FAO,2025-09-20,19,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Pinctada fucata,Akoya Pearl Oyster,Mollusca,Bivalvia,Pteriidae,Pterioida,Shallow waters,0-40m,Sessile,Commercial,Not Threatened,8 cm,0.05 kg,"Bivalve, pearl-producing",Filter feeder - plankton,Broadcast spawning,Pearl cultivation,Water pollution,"Sessile, forms beds",Indo-Pacific,Aquaculture,2025-09-20,20,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Turbo marmoratus,Green Turban Shell,Mollusca,Gastropoda,Turbinidae,Trochida,Coral reefs,0-10m,Benthic,Commercial,Not Threatened,23 cm,2 kg,Large green spiral shell,Herbivorous - algae grazer,Broadcast spawning,Ornamental shell trade,Collection pressure,Slow-moving grazer,Indo-Pacific,Trade data,2025-09-20,21,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Trochus niloticus,Commercial Trochus,Mollusca,Gastropoda,Trochidae,Trochida,Coral reefs,1-10m,Benthic,Commercial,Not Threatened,15 cm,0.8 kg,"Conical shell, mother-of-pearl interior",Herbivorous - algae,Broadcast spawning,Button and jewelry industry,Overharvesting,Reef grazer,Indo-Pacific,CITES,2025-09-20,22,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Penaeus monodon,Giant Tiger Prawn,Arthropoda,Malacostraca,Penaeidae,Decapoda,Indo-Pacific,0-110m,Benthic,Commercial,Not Threatened,36 cm,0.65 kg,Large prawn with black bands,"Omnivorous - detritus, small animals",Offshore spawning,Major aquaculture species,"Disease, pollution","Burrowing, vertical migration",Indo-Pacific,FAO,2025-09-20,23,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Penaeus indicus,Indian White Prawn,Arthropoda,Malacostraca,Penaeidae,Decapoda,Indo-West Pacific,0-90m,Benthic,Commercial,Not Threatened,23 cm,0.18 kg,White prawn with rostral teeth,Omnivorous detritivore,Coastal spawning,Important fishery species,Overfishing,Estuarine nurseries,Indo-Pacific,FAO,2025-09-20,24,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Portunus pelagicus,Blue Swimming Crab,Arthropoda,Malacostraca,Portunidae,Decapoda,Indo-Pacific,0-50m,Benthic,Commercial,Not Threatened,20 cm,0.5 kg,"Blue claws, paddle-shaped legs",Omnivorous scavenger,Female egg carrying,Commercial fishery,Overfishing,Active swimmer,Indo-Pacific,Fisheries data,2025-09-20,25,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Scylla serrata,Mud Crab,Arthropoda,Malacostraca,Portunidae,Decapoda,Mangroves,0-10m,Benthic,Commercial,Not Threatened,25 cm,2 kg,Large robust crab with powerful claws,"Omnivorous - mollusks, fish",Complex life cycle,High-value seafood,Mangrove destruction,"Aggressive, territorial",Indo-Pacific,Aquaculture,2025-09-20,26,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Panulirus homarus,Scalloped Spiny Lobster,Arthropoda,Malacostraca,Palinuridae,Decapoda,Indo-Pacific,1-90m,Benthic,Commercial,Not Assessed,40 cm,3 kg,Spiny lobster with scalloped markings,"Omnivorous - mollusks, fish",Phyllosoma larvae,High-value fishery,Overfishing,"Nocturnal, gregarious",Indo-Pacific,FAO,2025-09-20,27,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Acropora cervicornis,Staghorn Coral,Cnidaria,Anthozoa,Acroporidae,Scleractinia,Shallow reefs,1-30m,Sessile,Conservation,Critically Endangered,200 cm,Variable,Fast-growing branching coral,Photosynthetic via zooxanthellae,Broadcast spawning,Reef restoration,"Climate change, bleaching","Colonial, rapid growth",Tropical reefs,NOAA,2025-09-20,28,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Acropora millepora,Smallhorn Coral,Cnidaria,Anthozoa,Acroporidae,Scleractinia,Coral reefs,2-25m,Sessile,Conservation,Vulnerable,150 cm,Variable,Branching coral with small branches,Photosynthetic,Annual spawning,Reef building,Ocean warming,Colonial growth,Indo-Pacific,IUCN,2025-09-20,29,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Aurelia aurita,Moon Jellyfish,Cnidaria,Scyphozoa,Ulmaridae,Semaeostomeae,Coastal waters,0-500m,Planktonic,Common,Not Assessed,40 cm,Variable,Transparent with four gonads,Planktivorous - zooplankton,Complex life cycle,Research model,Pollution causes blooms,Passive drifter,Cosmopolitan,Literature,2025-09-20,30,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Holothuria scabra,Sandfish Sea Cucumber,Echinodermata,Holothuroidea,Holothuriidae,Holothuriida,Seagrass beds,0-20m,Benthic,Commercial,Not Threatened,35 cm,1.2 kg,"Soft-bodied, leathery skin",Detritivore - organic matter,External spawning,High-value export,Overfishing,Sediment processing,Indo-Pacific,CITES,2025-09-20,31,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Holothuria nobilis,Black Teatfish,Echinodermata,Holothuroidea,Holothuriidae,Holothuriida,Coral reefs,0-30m,Benthic,Commercial,Vulnerable,45 cm,2 kg,Large black sea cucumber,Detritivore,Spawning aggregations,Premium seafood export,Overharvesting,Reef cleaning,Indo-Pacific,IUCN,2025-09-20,32,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Diadema setosum,Long-spined Sea Urchin,Echinodermata,Echinoidea,Diadematidae,Diadematoida,Coral reefs,1-70m,Benthic,Ecological,Not Assessed,9 cm,0.1 kg,Long black venomous spines,Herbivorous - algae grazer,External spawning,Reef algae control,Collection,Nocturnal grazing,Indo-Pacific,Reef studies,2025-09-20,33,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Nereis virens,King Ragworm,Annelida,Polychaeta,Nereididae,Phyllodocida,Mudflats,0-20m,Benthic,Commercial,Not Assessed,90 cm,0.1 kg,Large segmented worm,Carnivorous - invertebrates,Spawning swarms,Fishing bait,Habitat disturbance,Burrowing predator,North Atlantic,Bait industry,2025-09-20,34,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Arenicola marina,Lugworm,Annelida,Polychaeta,Arenicolidae,Capitellida,Sandy shores,0-10m,Benthic,Commercial,Not Assessed,23 cm,0.02 kg,Creates sand castings,Deposit feeder,External spawning,"Fishing bait, bioturbation",Beach disturbance,U-shaped burrows,Northeast Atlantic,Ecology,2025-09-20,35,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Spongia officinalis,Bath Sponge,Porifera,Demospongiae,Spongiidae,Dictyoceratida,Rocky substrates,0-50m,Sessile,Commercial,Not Threatened,30 cm,Variable,Soft porous structure,Filter feeder - bacteria,Budding reproduction,Traditional sponge industry,Overharvesting,Water filtration,Mediterranean,Industry,2025-09-20,36,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
Cliona celata,Boring Sponge,Porifera,Demospongiae,Clionaidae,Clionaida,Rocky shores,0-100m,Sessile,Ecological,Not Assessed,15 cm,Variable,Bores into calcium carbonate,Filter feeder,Asexual reproduction,Bioeroder,Ocean acidification,Limestone boring,Widespread,Research,2025-09-20,37,IndoBIS Marine Fauna Database,Indian Ocean,Verified,Available,FORV Collection
